현대 아반떼MD M16GDI TOP,7500000,2012,2011-09-29,103000,오토,휘발유,53러2512,
벤츠 C-클래스 W205 C63 S AMG 쿠페,83500000,2017,2017-09-22,33654,오토,휘발유,41가9739,파워핸들|파워윈도우|에어컨|풀오토에어컨|썬팅|썬루프|핸들리모컨|알루미늄휠|전동백미러|전동접이식백미러|ECM룸미러|원격시동장치|스마트키|메탈그레인|오토도어록|가죽시트|전동시트|메모리시트|열선시트|운전석에어백|조수석에어백|사이드에어백|커튼에어백|ABS|ECS|ESP|TCS|전후방감지기|후방카메라|네비게이션|GPS|블랙박스|하이패스|DMB|앞좌석TV|CD플레이어|MP3플레이어|CD체인저|VCD플레이어|DVD플레이어|AV시스템|슈퍼비젼계기판|트립컴퓨터|버켓시트|에어댐|광폭타이어|크루즈컨트롤
삼성 뉴SM5(신형) SE,5300000,2012,2012-07-23,143501,오토,휘발유,14저3465,파워핸들|운전석에어백
삼성 마스터 버스 2.3 13인승,33200000,2019,2019-06-18,2574,수동,경유,74거8752,파워핸들|파워윈도우|에어컨|풀오토에어컨|핸들리모컨|알루미늄휠|ECM룸미러|오토도어록|운전석에어백|ABS|전후방감지기|후방카메라|네비게이션|GPS|앞좌석TV|트립컴퓨터
미니 쿠퍼 기본형,18300000,2017,2017-04-28,26832,오토,휘발유,63모3481,
쉐보레 어메이징 뉴 크루즈 1.6 디젤 LTZ,10900000,2016,2017-01-02,38486,오토,경유,04구0213,파워핸들|에어컨|썬팅|알루미늄휠|전동백미러|오토도어록|가죽시트|열선시트|운전석에어백|조수석에어백|ABS|후방카메라|네비게이션|블랙박스
기아 K9 3.3 GDI 이그제큐티브,15900000,2014,2013-02-04,178027,오토,휘발유,50구0564,
쌍용 액티언스포츠 4WD AX7,6000000,2011,2010-12-10,165392,오토,경유,81다7894,파워핸들
삼성 SM3 네오 1.5 dCi SE,5800000,2016,2016-11-16,177900,오토,경유,394고2254,파워핸들|파워윈도우|에어컨|알루미늄휠|전동백미러|전동접이식백미러|오토도어록|열선시트|운전석에어백|조수석에어백|ABS|후방카메라|네비게이션
현대 더럭셔리그랜저 L330 VIP,8990000,2010,2010-02-10,94539,오토,휘발유,56무6111,파워핸들|파워윈도우|에어컨|풀오토에어컨|썬팅|썬루프|파노라마썬루프|핸들리모컨|알루미늄휠|전동백미러|전동접이식백미러|ECM룸미러|원격시동장치|스마트키|우드그레인|메탈그레인|오토도어록|도난경보기|가죽시트|전동시트|메모리시트|열선시트|HID램프|제논램프|운전석에어백|조수석에어백|사이드에어백|커튼에어백|ABS|ECS|ESP|TCS|전후방감지기|후방카메라|네비게이션|GPS|블랙박스|하이패스|공기청정기|DMB|앞좌석TV|MP3플레이어|VCD플레이어|DVD플레이어|AV시스템|튜닝스피커|앰프|우퍼|슈퍼비젼계기판|트립컴퓨터|광폭타이어
현대 그랜드스타렉스 12인,13000000,2016,2015-05-02,77000,수동,경유,77어8106,파워핸들|파워윈도우|에어컨|풀오토에어컨|썬팅|핸들리모컨|알루미늄휠|전동백미러|ECM룸미러|우드그레인|가죽시트|전동시트|메모리시트|열선시트|HID램프|운전석에어백|조수석에어백|사이드에어백|커튼에어백|ABS|ECS|ESP|TCS|전후방감지기|후방카메라|네비게이션|GPS|블랙박스|CD플레이어|MP3플레이어|CD체인저
기아 그랜드카니발 GLX,4300000,2010,2009-09-30,210111,오토,경유,70조6581,파워핸들|에어컨|썬팅|썬루프|알루미늄휠|전동백미러|전동접이식백미러|스마트키|가죽시트|운전석에어백|조수석에어백|ABS|ESP|후방카메라|네비게이션|GPS|블랙박스|DMB|앞좌석TV|DVD플레이어|AV시스템
삼성 SM3 네오 SE 플러스,7990000,2015,2014-12-19,51513,오토,휘발유,14루8412,파워핸들|파워윈도우|에어컨|풀오토에어컨|썬팅|핸들리모컨|알루미늄휠|전동백미러|전동접이식백미러|스마트키|오토도어록|열선시트|운전석에어백|조수석에어백|사이드에어백|커튼에어백|ABS|ECS|ESP|전후방감지기|후방카메라|네비게이션|블랙박스|트립컴퓨터
기아 올뉴쏘렌토 4WD 2.2 노블레스,19500000,2016,2015-11-05,115252,오토,경유,25무0591,파워핸들|파워윈도우|에어컨|풀오토에어컨|썬팅|핸들리모컨|알루미늄휠|전동백미러|전동접이식백미러|ECM룸미러|스마트키|우드그레인|메탈그레인|오토도어록|도난경보기|가죽시트|전동시트|메모리시트|열선시트|HID램프|제논램프|운전석에어백|조수석에어백|사이드에어백|커튼에어백|ABS|ECS|ESP|TCS|전후방감지기|후방카메라|네비게이션|GPS|하이패스|공기청정기|DMB|앞좌석TV|CD플레이어|MP3플레이어|VCD플레이어|DVD플레이어|AV시스템|슈퍼비젼계기판|트립컴퓨터|4륜구동|크루즈컨트롤
아우디 Q5 35 TDI 콰트로,24600000,2016,2016-05-25,156513,오토,경유,68호9731,파워핸들|파워윈도우
