timestamp,price,mileage
1581675224,1580,36679
1588755344,1390,37661
1582316246,1620,52852
1580740653,1340,56401
1582515521,1799,57816
1582121639,1440,67808
1582517717,1500,73873
1582358601,1570,36679
1581152528,1600,45670
1582004874,1390,46431
1582331073,1410,45939
1580662179,1480,70816
1580644758,1560,28045
1582476862,1679,25892
1580940971,1360,73873
1581235406,1580,42000
1580691333,1490,67808
1585801985,1320,46600
1582149683,1400,60561
1581162563,1620,21184
1582316078,1420,46600
1581487618,1320,75214
1581642311,1450,70816
1581648114,1499,25892
1582436406,1750,47718
1582224208,1490,37661
1582581939,1120,111873
1580697827,1350,75214
1588754231,1380,54000
1580897584,1719,25892
1582451724,1500,60561
1580720236,1430,45939
1582628497,1200,45242
1581538207,1230,45242
1581566961,1420,60561
1586429511,1520,25921
1580884681,1420,46431
1586429615,1420,28088
1582167354,1690,23185
1586428689,1100,103942
1582568869,1669,25892
1582205547,1499,68800
1585807041,1550,74951
1585916519,1550,36679
1582605138,1659,25892
1586428119,1790,60921
1585805240,1450,37661
1582807985,1560,36679
1588751190,1050,111873
1582601425,1470,37661
1585920924,1420,66280
1585922634,1320,65283
1582486932,1680,21915
1580750820,1749,25892
1585918003,1490,77000
1581017996,1590,52852
1585922374,1480,28088
1586431833,1590,51026
1585923567,1470,45547
1585136978,1290,32160
1585807809,1730,23654
1586429765,1099,115376
1585805823,1200,36955
1588752699,1640,60921
1585139791,1270,45242
1586431671,1430,37661
1585801075,1370,46431
1585801173,1599,25921
1585137469,1670,51026
1590560419,1330,82590
1588753476,1290,56297
1588752782,1150,45242
1581951346,1390,60561
1585801067,999,115376
