timestamp,price,mileage
1582361186,2200,27978
1581561004,1850,81715
1580844387,1680,90411
1580698607,1680,90365
1580937345,2130,48630
1581330108,1660,90365
1582261958,1890,65553
1580716577,1870,81715
1581494808,1930,58559
1581534027,1950,56377
1582394968,1620,90365
1582452964,1800,94372
1580851306,1430,150411
1581075239,2150,52064
1581186169,2000,41422
1582169089,2030,22021
1582553658,1849,46962
1582572524,1880,70853
1580701793,1980,56377
1582529631,1420,150411
1580647078,1890,81715
1581212883,1840,46962
1586427798,1580,144904
1580733029,1580,110167
1580855315,2100,49219
1580735288,2090,22021
1581036397,2050,53940
1582155225,1790,46962
1586432805,1970,42498
1585929098,2050,49219
1580742910,1920,65553
1581026317,1920,70853
1586430459,1640,117000
1580635220,1670,90411
1588809009,1540,119969
1585800801,1630,90411
1585803480,1630,82000
1588753003,1990,59022
1586427427,1650,92658
1585801958,1830,58559
1585139911,1880,58559
1588755562,1390,150411
1585808082,2150,27978
1589154013,1960,53940
1585136315,2080,48630
1586427110,1790,58559
1588750119,1730,97330
1585920940,1800,75737
1580750111,1490,150411
1585808415,1980,48630
1586432784,1930,48630
1588756396,1950,22021
1586427515,1790,84480
1585927136,1950,82084
1588754121,1720,92653
1588754059,2240,56734
